Id,AyahText,SurahNo,AyahNumber,Comment
2479,Улардан баъзи гуруҳларга имтиҳон учун берганимиз бу дунё ҳаётининг зийнатларига кўз тикмагин. (15:88) Раббинг бергуси ризқ яхшироқ ва боқийроқ.,20,131,
2480,Аҳлингни Салотга/Кўрсатилган Йўлга буюргин; ва ўзинг ҳам унда сабот кўрсатгин. Биз сендан ризқ истамаймиз. Биз Ўзимиз сенга ризқ берамиз. Оқибат фақат тақводорлар фойдасига.,20,132,
2481,Дедилар: “Бизга Раббидан бирор оят-ишорат келтириши керак эмасмиди?” Уларга ўтган Китоблардаги оят-ишоратлар етиб келмаганми?,20,133,
2482,"Агар уларни олдинроқ азоб ила ҳалок этсак, дердиларки: “Эй Раббимиз, бизга Расул юборсайдинг, Сенинг оятларингга эргашган бўлардик, бундай хор ва шарманда бўлмасдик!”",20,134,
2483,"Сен айт: “Ҳамма кутяпти. Сиз ҳам кутинг, ким Тўғри Йўлда эканини яқинда билиб оласиз”.",20,135,
2484,"Одамларга Ҳисоб Куни яқинлашди, улар эса ғафлатда юз ўгирмоқда.",21,1,
2485,Раббидан келган очиқ баён этилган ҳар бир Зикрни/Эслатмани фақат ўйин қилиб тинглайдилар.,21,2,
2486,"Уларнинг қалблари бепарво. Зулм қилганлар ўзаро яширин суҳбат қилдилар: “У ҳам сизга ўхшаган башар/оддий одам эмасми? Кўра била туриб, сеҳрга ишонасизми?”",21,3,
2487,Деди: “Осмону-Ердаги ҳар бир сўз Раббимга маълум. У Самиъ Алим/ Эшитгувчи Билгувчи”.,21,4,
2488,"Аксинча улар дедилар: “Алғов-далғов тушлар бу! Йўқ, уни ўзи уйдирган! Йўқ, у шоир! Ўтмишдагиларга юборилгани каби оят-ишоратлар келтирсин қани!”",21,5,
2489,"Ўтмишда шаҳар-қишлоқларнинг ҳеч бири имон келтирмаган эди, Биз барчасини ҳалок этдик. Энди булар имонга келармиди?",21,6,
2490,"Биз сендан олдин ҳам фақат Рижолларга/оддий халқ орасидан бирор кишига ваҳй қилиб, Расул ўлароқ юборганмиз. Зикр аҳлидан сўранг, агар билмасангиз*. (*21:17 Ўтмишда юборилган Рижоллар ушбу сура давомида номма-ном Зикр этилади).",21,7,
2491,"Биз уларни таом емайдиган вужудлар ҳам қилмадик, улар абадий ҳам яшамадилар.",21,8,
2492,"Сўнгра уларга берган ваъдамизни рўёбга чиқардик, истаганимизга нажот бердик, ҳаддан ошгувчи мусрифларни эса ҳалок қилдик.",21,9,
2493,"Сизларга эса бир Китоб нозил қилдик, унда сизнинг Зикрингиз* бор; Ақл ишлатмайсизми? (*Қурайш зикри 106-сурада).",21,10,
2494,"Қанчадан-қанча золим шаҳар-қишлоқларни ҳалок қилдик, ва улардан кейин бошқа қавм яратдик.",21,11,
2495,"Бизнинг жазоимизни ҳис этганларида, у ердан қочмоқчи бўлишарди.",21,12,
2496,"“Қочманг! Қайтинг ўша маишат қилиб ўтган масканларингизга, ҳали сўроққа тутиласиз”.",21,13,
2497,"Дедилар: “Ҳолимизга вой! Биз, ноҳақлик қилган эканмиз!",21,14,
2498,"Уларни худди ўрилган экиндек, кулдек совуриб бўлгунимизча, мана шунақа ёлвориб қолаверишди.",21,15,
2499,"Биз Само ва Ерни, ҳамда иккиси орасидагини маъносиз-мақсадсиз/ўйин учун яратмадик.",21,16,
2500,"Агар ўйин истаганимизда, ўз ҳузуримиздан топган бўлардик ўйинни, мабодо бундай қилмоқчи бўлсак.",21,17,
2501,"Аксинча, Биз ботил устига ҳақни ташлаймиз, ботилни яксон этади. Қарабсанки, ботил чекинади. Аммо сизлар Аллоҳга нисбат этган сифатлар боис ҳолингизга вой.",21,18,
2502,"Осмонлару-Ердаги барча нарса Унинг. Унинг ҳузуридагилар Унга қуллик/хизмат қилишдан кибрланмайдилар ҳам, чарчамайдилар ҳам.",21,19,
2503,"Улар кечаю-кундуз Уни поклаб улуғлайдилар, асло тўхтамайдилар.",21,20,
2504,Йўқса улар тирилтириб Ердан чиқарадиган илоҳлар тутдиларми?,21,21,
2505,"Мабодо Осмону-Ерда Аллоҳдан ўзга илоҳлар бўлганида, иккиси ҳам вайрон бўларди/издан чиқарди. Аршнинг Эгаси улар берган сифатларидан пок ва олийдир.",21,22,
2506,"Унинг ишидан сўроққа тутилмайди, улар ўз ишларидан сўроқ қилинади.",21,23,
2507,Йўқса Ундан ўзга илоҳлар тутдиларми? Сен айт: “Келтиринг далилингизни. Мана мен билан бирга бўлганларнинг ҳамда мендан олдингиларнинг Зикри”. Лекин уларнинг кўпи ҳақни билмай туриб юз ўгиради.,21,24,
2508,"Сендан олдин қачон Расул юборган бўлсак, барчасига шундай ваҳй қилдик: “Мендан ўзга Илоҳ йўқ, ёлғиз Менга қуллик/хизмат қилинг!”",21,25,
2509,"“Раҳмон фарзанд тутди” дедилар. Йўқ, У бундан Пок ва Олийдир. Йўқ! Улар мукаррам қуллар холос.",21,26,
2510,Улар ўз сўзини Унинг сўзидан муқаддам қилмаслар ва Унинг буйруғига бўйсунадилар.,21,27,
2511,"Уларнинг ошкору-яширин барча амаллари Унга маълум. Улар ҳеч кимни шафоат қила олмайдилар, фақат Унинг Ўзи рози бўлганлар мустасно. Улар Ундан қўрқиб титрайдилар.",21,28,
2512,"Улардан кимда-ким: “Мен ҳам Ундан ўзга илоҳман!” деса, ана ўшани жаҳаннам билан жазолаймиз. Золимларни ана шундай жазолаймиз.",21,29,
2513,"Кофир бўлганлар кўрмадиларми, Осмонлару-Ер туташ эди, Биз иккисини айирдик. Ҳар бир жонзотни сув билан тирик қилиб қўйдик, ҳали ҳам ишонмайдиларми?",21,30,
2514,Улар силкинмаслиги учун Ерда баланд тоғлар ўрнатдик. Йўлини топишлари учун унда кенг йўллар қилиб қўйдик.,21,31,
2515,Осмонни ҳимояланган шифт қилдик. Улар эса ҳали ҳам Унинг оятларидан юз ўгирадилар.,21,32,
2516,"Кечани, кундузни, Қуёшни ва Ойни яратган Унинг Ўзидир. Ҳар бири фалакда/ўз орбитасида сузиб боради.",21,33,
2517,"Сендан олдин ҳеч бир башарга абадий ҳаёт бермаганмиз. Сенга ҳам ўлим етар экан, улар абадий қолармиди?",21,34,
2518,Ҳар бир жон ўлимни тотгай. Биз сизларни имтиҳон қилиш учун ёмонлик ва яхшилик билан синовга/фитнага тутамиз (2:155). Охир-оқибат Бизга қайтариласиз.,21,35,
2519,"Кофирлар сени кўрганида, сени фақат масхара қилишади: “Сизларнинг илоҳларингиз ҳақида гапираётган одам шуми?” Ўзлари эса Раҳмоннинг Эслатмасига кофир бўлмоқдалар.",21,36,
2520,"Инсон шошқалоқ яралган. Сизларга оятларимни кўрсатаман, Мени шоширишга уринманг.",21,37,
2521,"Улар дейдилар: “Бу ваъда қачон экан, агар рост бўлса?”",21,38,
2522,"Кофир бўлганлар билса эди, ҳали юзларидан ва орқаларидан оловни даф этишга қодир бўлолмайдилар; ва уларга ёрдам ҳам берилмайди...",21,39,
2523,"Аксинча, у тўсатдан келади, уларни даҳшатга солади ва улар уни қайтара олмайди, уларга муҳлат ҳам берилмайди.",21,40,
2524,Сендан олдин ҳам Расулларнинг устидан кулишган. Аммо масхара қилувчиларнинг кулгани ўз бошларига келиши ҳақ бўлди.,21,41,
2525,Сен айт: “Кечаси ва кундузи сизни Раҳмондан ким ҳимоя қилади?” Йўқ! Улар Раббининг Эслатмасидан юз ўгирмоқдалар.,21,42,
2526,"Йўқса Биздан ўзга ҳимоя қила оладиган илоҳлари бор эканми? Улар ўз-ўзларига ҳам ёрдам бера олмайди, уларга Биздан ҳам ҳимоя таъмин этилмайди.",21,43,
2527,"Биз анавиларни ва уларнинг ота-боболарини фойдалантирдик, ҳатто умрлари узоқ туюлди. Ахир кўрмайдиларми, Биз Ерни бир четидан торайтириб келмоқдамиз, ёки улар ғолиб чиқар эканми?",21,44,
2528,"Сен айт: “Мен сизларни фақат ушбу ваҳй билан огоҳ этаман. Огоҳ этилганда, даъватни фақат гунглар эшитмайди”.",21,45,
2529,"Агар Раббингнинг азобидан бир қисми етса, улар дейди: “Ҳолимизга Вой! Ноҳақ бўлган эканмиз!”",21,46,
2530,"Қиёмат куни учун Адолат тарозисини қурамиз. Ҳеч бир жонга ноҳақлик қилинмайди. Агарчи зиғирча бўлса ҳам, келтирамиз. Ҳисоб қилиш учун Биз ўзимиз кифоямиз.",21,47,
2531,"Биз Мусо ва Ҳорунга Фурқонни/ҳақ ва ботилни айирувчи ўлчовни, тақво эгалари учун Зиё ва Ўгит/Эслатмани бердик.",21,48,
2532,"Улар Раббидан ғоибона қўрқадилар, ва Қиёмат Соатидан қўрқиб титрайдилар.",21,49,
2533,Бу ҳам Биз нозил қилган муборак бир Ўгитдир. Буни инкор этасизми?,21,50,
2534,Биз олдинроқ Иброҳимга Рушд/Тўғрилик бердик. Биз уни билиб турардик.,21,51,
2535,Мана у отасига ва қавмига деди: “Сизлар сиғинаётган/эътикоф тутиб боғланаётган бу тимсоллар нима?”,21,52,
2536,"Улар дедилар: “Ота-боболаримиз уларга сиғинар эди, улардан шундай кўрганмиз”.",21,53,
2537,"У деди: “Рости, сиз ҳам, ота-боболарингиз ҳам очиқчасига адашувда бўлгансиз”.",21,54,
2538,Улар дедилар: “Бизга ҳақиқатни келтирдингми ёки ўйин қиляпсанми?”,21,55,
2539,У деди: “Йўқ! Раббингиз Осмонлару-Ернинг Раббидир. Мен бунга гувоҳ бўлган бириман.,21,56,
2540,"Аллоҳга қасамки, сизлар кетгач, мен бут-санамларингизга тузоқ қураман”.",21,57,
2541,"Уларни парча-парча қилди, балки қайтарлар дея, энг катталарини қолдирди.",21,58,
2542,"Улар дедилар: “Илоҳларимизга ким бундай қилди? Ким қилсаям, улкан зулм/ноҳақлик қилибди.",21,59,
2543,"Иброҳим деган бир йигит бор эди, улар ҳақида гапириб, эслатиб юрганини эшитгандик”.",21,60,
2544,"Дедилар: “Уни келтиринг, одамлар ўз кўзи билан кўриб гувоҳ бўлишсин”.",21,61,
2545,"Дедилар: “Илоҳларимизга қарши буни қилган сенмисан, эй Иброҳим?”",21,62,
2546,"У деди: “Йўқ! Аксинча, бу ишни қилган энг катталари; ўзларидан сўранг, агар гапирсалар!”",21,63,
2547,"Улар қайтиб ўз ораларида дедилар: “Аслида, сизлар ноҳақсиз!”",21,64,
2548,Сўнг яна эски бошларига қайтдилар: “Булар гапиролмаслигини биласан-ку”.,21,65,
2549,"У деди: “Аллоҳдан ўзга, сизга на фойда на зарар беролмайдиган нарсаларга қуллик/хизмат қиласизми?",21,66,
2550,"Сизга ҳам тупурдим, Аллоҳдан ўзга ўша сиғинганларингизга ҳам тупурдим! Ҳеч ақл ишлатмайсизми?”",21,67,
2551,"Улар дедилар: “Уни ўтда ёқинг, агар бирор нима қилмоқчи бўлсангиз, илоҳларингизга ёрдам беринг”.",21,68,
2552,"Биз дедик: “Эй олов, Иброҳимга салқин бўл! Иброҳимга Салом/Омонлик бўлсин!”",21,69,
2553,"Унга қарши макр/тузоқ қурмоқчи бўлдилар. Биз эса, уларнинг ўзларини бой берувчи қилдик.",21,70,
2554,Биз унга нажот бердик. Лутни ҳам оламлар учун баракотли қилганимиз Ерга келтирдик.,21,71,
2555,Унга Исҳоқни ва Йаъқубни бердик. Барчасини солиҳлар қилдик.,21,72,
2556,"Биз уларни Ўз амримиз ила Тўғри Йўлга бошлагувчи пешволар қилдик, ва уларга яхши ишлар қилишни, Салотни қоим этишни/Тўғри Йўлга эргашишни ва Закотни адо этишни/Уни покиза сақлашни ваҳй этдик. Улар ёлғиз Бизга қуллик/хизмат қилар эдилар.",21,73,
2557,"Лутга ҳам ҳукм ва илм бердик, нопоклик қилган шаҳардан нажот бердик. Улар ёмонлик қавми, фосиқлар тўдаси эдилар.",21,74,
2558,"Биз уни Ўз раҳматимизга дохил айладик, зеро у солиҳлардан эди.",21,75,
2559,"Нуҳни ҳам. Мана у олдинроқ нидо қилган эди. Биз унинг дуосини қабул айладик, уни ва аҳлини Улуғ Ғамдан халос этдик.",21,76,
2560,"Оятларимизни ёлғон санаган қавмга қарши нусрат бердик унга. Улар ёмонлик қавми эди, Биз уларнинг ҳаммасини сувда ғарқ этдик.",21,77,
2561,"Довудга ҳам, Сулаймонга ҳам. Мана, қавмнинг қўйлари ёйилган экин ҳақида ҳукм қилаётирлар. Биз уларнинг ҳукмларига гувоҳ эдик.",21,78,
2562,Биз уни Сулаймонга фаҳм эттирдик. Ҳар бирига ҳукм ва илм бердик. Довуд билан бирга тасбиҳ этсин дея Тайр/қушлар билан бирга тоғларни унга бўйсундирдик. Буларнинг барчасини қилган Биз эдик.,21,79,
2563,"Унга зирҳ ясаш илмини бердик, токи сизлар урушнинг шиддатидан ҳимоялана олгайсиз. Аммо сиз шукрини адо этаяпсизми?",21,80,
2564,"Бўрондай эсган шамолни Сулаймоннинг амрига бердик, унинг буйруғи билан Биз баракот ёйган жойга оқиб борарди. Биз барча нарсани биламиз.",21,81,
2565,"Унинг учун денгизга шўнғийдиган, ва яна бошқа ишларни ҳам қиладиган шайтонларни унинг амрига бўйсундирдик. Уларни яқиндан таъқиб этдик/улар устидан қаттиқ назорат ўрнатдик.",21,82,
2566,"Айюбга ҳам. Мана у Раббига нидо қилди: “Менга мусибат тегди, Сен раҳмдилларнинг раҳмдилисан”.",21,83,
2567,"Биз унинг дуосини қабул айладик, унга етган зарарни кетказдик; тарафимиздан раҳмат ўлароқ ҳамда қуллик/хизмат қилгувчилар учун ўгит ўлароқ унга аҳлини ва улар билан бирга яна бир мислини бердик.",21,84,
2568,"Исмоилга, Идрисга ва Зул-Кифлга ҳам; ҳар бири сабр қилувчилардан эди.",21,85,
2569,"Уларни ўз раҳматимизга дохил айладик. Ҳақиқатан, улар солиҳлардан эди.",21,86,
2570,"Зун-Нунга ҳам. Мана у ғазабланди ва кетди: Бизни асло қодир эмас дея гумон этди. Зулматлар ичида нидо қилди: “Сендан ўзга илоҳ йўқ, Сен Пок ва Олийсан, мен ноҳақ эканман”.",21,87,
2571,"Биз ундан қабул айладик, уни ғамдан қутқардик. Муминларни ана шундай қутқарамиз.",21,88,
2572,"Закариёга ҳам. Мана у Раббига нидо қилди: “Эй Раббим, мени ёлғиз қолдирма. Ворисларнинг энг яхшиси Ўзингсан”.",21,89,
2573,"Биз ундан қабул айладик, унга Яҳёни бердик. Жуфтини ҳам унинг учун ислоҳ қилдик. Ҳақиқатан, улар яхши ишларга ошиқувчилар эди, Бизга қўрқув ва умид ила дуо қилувчи ва Бизни ҳурмат қилувчилар/кўрмай туриб қўрқувчилар эди.",21,90,
2574,Иффатини сақлаган ўша аёлни ҳам. Биз унга Ўз руҳимиздан уфладик; Уни ҳамда Ўғлини оламлар учун оят-далил қилдик.,21,91,
2575,"Мана шу - сизнинг ягона умматингиз. Сизнинг Раббингиз Менман, ёлғиз Менга хизмат/қуллик қилинг.",21,92,
2576,Улар ўз ишларида парчаларга бўлиндилар; барчаси ҳали Бизга қайтадилар.,21,93,
2577,"Кимки имон келтириб солиҳ амал қилса, унинг сайъ-ҳаракатига ноҳақлик қилинмайди, Биз уни ёзиб борамиз.",21,94,
2578,Биз ҳалок этган шаҳарга ҳаромдир: зеро улар қайтмаслар.,21,95,
2579,"Токи талон-тарож ва бузғунчи куч марказлари/Яъжуж ва Маъжуж йўли очилиб, ҳар тепаликдан оқиб кела бошлаганида,",21,96,
2580,"Қилинган Ҳаққ Ваъда яқинлатилади, ва кофир бўлганларнинг кўзлари бундан қотиб қолади. “Ҳолимизга вой! Биз бундан ғафлатда эдик. Аксинча биз золимлар/ноҳақ эканмиз!”",21,97,
2581,"“Сиз ўзингиз ҳам, Аллоҳдан ўзга қуллик/хизмат қилаётганларингиз ҳам жаҳаннамнинг ўтини, унга кирасиз энди!",21,98,
2582,"Агар анавилар ҳақиқий илоҳлар бўлганида, кирмас эди у ёққа. Лекин ҳар бири унда абадий қолади.",21,99,
2583,Улар учун у ерда фақат чинқириқ ва инграшлар бор; улар бошқа нарса эшитмайдилар у ерда.,21,100,
2584,"Биздан ўзлари ҳақида аввалроқ яхшилик ҳозир қилинган кишилар, ана ўшалар ундан узоқлаштирилади.",21,101,
2585,"Улар унинг чисирлашини эшитмайдилар. Кўнгиллари нимани тусаса, улар унинг ичида доимий қоладилар.",21,102,
2586,Улар Энг Катта Қўрқувдан маҳзун бўлмайди. Уларни Малаклар шундай кутиб олишади: “Сизларга ваъда қилинган Кун мана шу Кундир”.,21,103,
2587,"У Кунда Биз Самони ўраб йиғамиз, бамисоли ёзиш битиклари каби. Илк яратишни қандай бошлаган бўлсак, уни яна такрорлаймиз. Бу зиммамизга олган Ваъдамиз, ва Биз уни мутлақо рўёбга чиқарамиз.",21,104,
2588,Биз Забурда Зикрдан кейин шундай деб ёзганмиз: “Ер юзига солиҳ қулларим ворис бўладилар”.,21,105,
2589,"Бунда, хизмат/қуллик қилувчилар учун етарли ибрат бор.",21,106,
2590,Сени фақатгина Оламларга Раҳмат ўлароқ юбордик.,21,107,
2591,"Сен айт: “Менга ваҳй қилиндики, сизларнинг илоҳингиз ягона Илоҳдир. Таслим бўлдингизми/Мусулмон бўлдингизми?”",21,108,
2592,"Агар юз ўгирсалар, айт: “Мен барчангизга бирдай очиқ етказдим. Энди сизга қилинган ваъда узоқми-яқинми, буни билмайман.",21,109,
2593,"Ҳақиқатан, У сўзнинг ошкорини ҳам билади, сизнинг яширганингизни ҳам билади.",21,110,
2594,"Бу сиз учун фитнами/синовми, яшаб туришингиз учун бир муҳлатми, менга номаълум”.",21,111,
2595,"Деди: “Эй Раббим, Ўзинг ҳақ ила ҳукм этгин. Раббимиз Раҳмондир/Яратиб Ризқ берган ва Тўғри Йўлни ўргатган, Мустаъон/Сизлар нисбат этган сифатлардан сиғиниш ёлғиз Унгадир”.",21,112,
2596,"Эй одамлар! Раббингизга тақво қилинг! Ҳақиқатан, Қиёмат Соатининг силкиниши Улкан Нарса.",22,1,
2597,"Уни кўрганингиз Кунда, ҳар бир эмизувчи эмизганидан воз кечади; ҳар бир ҳомиладор ҳомиласини ташлайди; одамларни сархуш ҳолда кўрасан, ҳолбуки улар сархуш эмас, балки Аллоҳнинг азоби шиддатлидир.",22,2,
2598,"Баъзи одамлар, илмсиз ҳолда Аллоҳ ҳақида тортишади, ва ҳар қандай осий Шайтонга эргашади.",22,3,
2599,"У ҳақида шундай ёзилган: “Ким унга эргашса, уни адаштирмай қўймайди ва уни қизиган Олов азоби сари бошлайди”.",22,4,
2600,"Эй одамлар, агар ўлгандан кейин қайта тирилишдан шубҳада бўлсангиз, Биз сизни тупроқдан, сўнгра бир нутфадан, сўнг бир алақадан, сўнгра ҳосил бўлган ва ҳосил бўлмаган бир чайнов гўштдан яратдик, сизга очиқ баён этамиз. Биз истаганимизни белгиланган муддатгача раҳмларда тутамиз, кейин гўдак ҳолида чиқарамиз, кейин, куч-қувват ёшига етказамиз. Орангизда кимгадир ўлим берамиз, кимдир ҳаётни энг тубан умргача, билганидан кейин ҳеч нарсани билмайдиган ёшгача яшайди. Ерни қуруқ ва ўлик ҳолда кўрасан, Биз унга сув туширамиз, у тебранади ва қўпоради, ва барча гўзал турлардан ундириб ўстиради.",22,5,
2601,"Ана шундай, зеро Аллоҳ ҳақдир, ва ўликларга Унинг Ўзи ҳаёт беради. У барча нарсага қодир.",22,6,
2602,"Қиёмат Соати албатта келгусидир, ва Аллоҳ қабрдагиларни тирилтиради, бунга асло шубҳа йўқ.",22,7,
2603,"Баъзи одамлар Аллоҳ ҳақида илмсиз, йўл кўрсатувчи китобсиз ҳолда тортишади.",22,8,
2604,"Аллоҳнинг йўлидан адаштириш учун бўйнини буради, дунёда унга расволик бор. Қиёмат куни эса унга ёниб турган Олов азобини тотдирамиз:",22,9,
2605,“Бу ўз қўлинг билан қилган қилмишларинг туфайли. Аллоҳ қулларга ноҳақлик қилмайди”.,22,10,
2606,"Баъзи одамлар Аллоҳга бир четда/яроқсиз шаклда қуллик қилади. Агар унга яхшилик етса, у билан хотиржам бўлади. Агар унга фитна/синов етса, юзи буришади; дунёда ҳам, охиратда ҳам бой беради. Очиқ бой бериш ана шудир.",22,11,
2607,"Аллоҳдан ўзга на зарар, на фойда беролмайдиган нарсаларга дуо қилади. Узоқ адашув ана шудир.",22,12,
2608,Зарари фойдасидан яқин бўлганларга ёлворади/чақиради. Қанчалар ёмон ёрдамчи ва қанчалар ёмон ҳамроҳ!,22,13,
2609,"Имон келтириб, солиҳ амал қилганларни Аллоҳ, остидан анҳорлар оққан боғ-роғларга киритади. Аллоҳ ўз иродасини рўёбга чиқаради.",22,14,
2610,"Аллоҳ унга дунё ва охиратда ёрдам беролмайди деб ўйлаётган кимдир бўлса, ғазабини кетказиш учун бир сабаб (восита) билан самога узайсин, сўнгра узилсин-да, бу чораси унинг ғазабини кетказа олдими, қарасин?",22,15,
2611,"Биз уни ана шундай, очиқ сўзлар билан баён қилинган оятлар ҳолида нозил қилдик. Аллоҳ хоҳлаганига йўл кўрсатади.",22,16,
2612,"Имон келтирганлар, яҳудийлар, собиийлар, насронийлар, мажуслар, ва шерик қўшганлар... Аллоҳ Қиёмат Куни улар ўртасида ҳукм қилади. Аллоҳ барча нарса устида гувоҳ.",22,17,
2613,"Осмонлару-Ердаги барча, Қуёш, Ой ва юлдузлар, тоғу-тош ва дарахтлар, ҳайвонот ва кўплаган одамлар Аллоҳга сажда этишини/тўлиқ бўйсунишини кўрмадингми? Аммо одамларнинг кўпи учун азоб ҳаққи рост бўлди. Аллоҳ кимни хор қилса, уни мукаррам қилгувчи йўқ. Аллоҳ Ўзи истаганини рўёбга чиқаради.",22,18,
2614,"Мана булар Рабби ҳақида хусумат қилган икки душман: Кофир бўлганлар учун оловдан кийимлар кесилади, бошлари устидан қайноқ сувлар қуйилади.",22,19,
2615,У билан қоринлари ва терилари эритилади.,22,20,
2616,Улар учун яна темир қамчилар бор.,22,21,
2617,"Ҳар гал у ердан, у ғамдан чиқмоқчи бўлганларида, унга қайтаришади: “Тотинг дўзах азобини!”",22,22,
2618,"Имон келтириб, солиҳ амал қилганларни Аллоҳ остидан анҳорлар оққан боғ-роғларга киритади. У ерда олтин билакузуклар ва инжулар тақадилар. У ерда уларнинг кийимлари ипакдан.",22,23,
2619,Улар энг покиза сўзга ва Ҳамид/мақтовларга лойиқ Зотнинг йўлига йўлланганлар.,22,24,
2620,"Кофир бўлганлар ва Аллоҳнинг йўлидан тўсганлар, барча халқ учун ибодат ўрни қилганимиз Масжид-ал-Ҳаромдан маҳаллий халқни ва ташқаридан келганларни тўсганлар! Ким у ерда зулм ила халқни адаштирмоқчи бўлса, уларга Аламли Азобни тотдирамиз.",22,25,
2621,"Мана, Иброҳимга Байтнинг ўрнини шундай ҳозирлаганмиз: “Менга бирор нарсани шерик қўшмайсиз ва Тавоф қилувчилар учун, Рукуъ ва Сажда қилувчилар учун Байтимни пок тутасиз.",22,26,
2622,"Одамлар орасида Ҳаж билан эълон қил: Улар пиёда ёки узоқ йўллардан, хорғин туялар устида сенга келсин.",22,27,
2623,"Ҳамда ўзлари учун фойдали нарсаларни келтирсинлар/гувоҳ қилсинлар, ва уларга ризқ қилиб берилган ҳайвонлар устида маълум кунларда Аллоҳнинг номини зикр қилсинлар. Улардан ўзингиз ҳам енглар, ғамга ботган муҳтожга ҳам беринглар.",22,28,
2624,"Сўнгра кирлардан поклансинлар, атаган назрларини адо этсинлар ва Қадри олий/Эски Уйни тавоф этсинлар.",22,29,
2625,"Ана шундай. Ким Аллоҳнинг шиорларини/нишонларини улуғласа/ҳурмат қилса, Раббининг ҳузурида ўзи учун яхшидир. Сизга оятларда ўқилганлардан бошқа барча ҳайвонлар ҳалол қилинган; ўша ифлос бутлардан ва ёмон гаплардан узоқ туринг.",22,30,
2626,"Аллоҳ учун Ҳанифлар - Аллоҳга шерик қўшмайдиганлар - бўлинг. Кимки Аллоҳга шерик қўшса, у бамисоли самодан қулаган-у, уни қуш тутиб олган ёки шамол учириб узоққа судраб кетаётган кимса кабидир.",22,31,
2627,"Ким Аллоҳнинг шиорларини/нишонларини улуғласа/ҳурмат қилса, бу қалбларнинг тақвосидандир.",22,32,
2628,Уларда сиз учун бир муддат фойдаланиш бор. Сўнгра улар Эски Уйга олиб борилади.,22,33,
2629,"Биз ҳар бир умматга бирор мансак/қурбонлик ибодати таъйин этдик, токи Аллоҳ ризқ қилиб берган ҳайвонлар устида Унинг исмини зикр этсинлар. Илоҳингиз ягона Илоҳдир, Унга таслим бўлинг. Бўйсунган ва мутавозеъ қулларга хушхабар бергин:",22,34,
2630,"Уларга Аллоҳ эслатилганда, қалблари титрайди, ўзларига етган мусибатларга сабр қиладилар, Салотни қоим этадилар/Кўрсатилган Йўлга эргашадилар, яъни Биз берган ризқлардан инфоқ қиладилар.",22,35,
2631,"Қурбонлик туяларини сизга Аллоҳнинг шиорларидан/нишонларидан қилдик, уларда сиз учун хайр бор. Улар олд оёқлари устида саф тизилганида, устларида Аллоҳнинг исмини зикр қилинг, ёнлари билан ерга қулаганида, улардан еб-ичинг, қаноат эгалари ҳамда сўровчи фақирларни ҳам тўйдиринг. Шукур қилишингиз учун Аллоҳ уларни сизга бўйсундириб қўйди.",22,36,
2632,"Уларнинг гўштлари ҳам Аллоҳга етиб бормайди, қонлари ҳам, лекин Унга сиздаги тақво етиб боради. Аллоҳ уларни сизга бўйсундириб қўйди, токи сизларга Тўғри Йўлни насиб этгани учун Унинг буюклигини зикр этгайсиз. Яхшилик қилувчиларга хушхабар бергин.",22,37,
2633,Аллоҳ имон келтирганларни ҳимоя қилади. Аллоҳ ҳеч бир хоин ва нонкўрни яхши кўрмайди.,22,38,
2634,"Уруш очилганларга урушиш изни берилгандир, зеро уларга зулм/ноҳақлик қилинган, Аллоҳ уларга ёрдам/ғалаба беришга қодир.",22,39,
2635,"Уларни ўз юртларидан ноҳақ чиқаришган, бунга ягона сабаб - “Раббимиз Аллоҳ”, дейишлари эди. Агар Аллоҳ баъзи одамларни баъзи одамлар орқали дафъ этмаганида, Аллоҳнинг номи кўп зикр этиладиган килисалар, черковлар, синагогалар ва масжидлар йўқ қилинган бўларди. Аллоҳга ёрдам берганларга Аллоҳ ҳам ёрдам беради. Аллоҳ Қовий Азиз/қувватли ҳам ғолиб.",22,40,
2636,"Агар уларга Ер юзида имконлар берсак, Салотни қоим қиладилар/ Кўрсатилган Йўлга эргашадилар, Закотни адо этадилар/уни покиза тутадилар, яъни маъруфга буюрадилар/Аллоҳга қуллик қилишга чақирадилар ва мункардан қайтарадилар/Ширкдан қайтарадилар. Барча ишларнинг оқибати Аллоҳгадир.",22,41,
2637,"Агар сени ёлғончига чиқарсалар, улардан олдин Нуҳ қавми ҳам, Од ва Самуд қавми ҳам ёлғон санаганлар.",22,42,
2638,"Иброҳим қавми ҳам, Лут қавми ҳам.",22,43,
2639,"Мадян қавми ҳам; Мусони ҳам ёлғончига чиқаришган. Мен кофирларга муҳлат бердим, сўнгра уларни ушладим. Менинг инкорим қандай бўлди экан?",22,44,
2640,"Қанчадан-қанча золим шаҳарларни ҳалок қилдик: шифтлари қулаган, ишлатилмас қудуқлар ва безатилган қасрлар қолиб кетди!",22,45,
2641,"Ер юзида кезмадиларми, ўйлайдиган қалблари бўлиб ўйласинлар, ва эшитадиган қулоқлари бўлиб тингласин. Аслида, кўзлар кўр эмас, балки кўксилардаги қалблар кўр бўлган.",22,46,
2642,"Сендан Азобни тезлатишни сўрашади. Аллоҳ ваъдасини ҳеч қачон бузмайди. Раббинг наздида бир Кун, сизнинг ҳисобингиздаги минг йил кабидир.",22,47,
2643,"Қанчадан-қанча шаҳарлар золим бўлганида, уларга муҳлат бердим, кейин ушладим. Охирги қайтиш Менга.",22,48,
