"No","Text","Izohli","SurahNo","AyahNo"
"25:12","Улар уни узоқдан кўриши билан, унинг ғазаб ва ғулдуросини эшитадилар.","",,
"25:13","Уларни боғлаб, оловнинг тор жойига улоқтиришганида, ўзларига ўлим тилайдилар.","",,
"25:14","Бир ўлим эмас, кўп ўлим тиланг бугун!","",,
"25:15","Сен айт: “Мана шу яхшими ёки тақво эгаларига ваъда қилинган абадий боғ-роғларми? Бу уларнинг мукофоти, уларнинг оқибати”.","",,
"25:16","У ерда нима истасалар муҳайё, ва давомий қоладилар. Бу Раббингдан исталган, орзу этилган ваъда.","",,
"25:17","Уларнинг ўзларини ҳам, Аллоҳдан ўзга қуллик/хизмат қилаётганларни ҳам жамлайдиган Кунда дейди: “Мана бу қулларимни сиз йўлдан оздирганмисиз ёки улар ўзлари оздиларми?”","",,
"25:18","Дедиларки: “Сен пок ва олийсан, Сендан ўзга валийларни/йўл кўрсатувчиларни қабул қилишимиз мумкин эмас. Лекин Сен уларга ва ота-боболарига неъмат бериб баҳраманд этдинг. Улар Эслатмани унутдилар ва ҳалокатни ҳақ этган қавм бўлдилар”.","",,
"25:19","Мана, сиз айтиб юрганлар ҳам сизни ёлғончига чиқаришди. Энди, на азобни қайтара оласиз ва на ёрдам топа оласиз. Сиздан кимки зулм қилган бўлса, Биз унга Улкан Азобни тотдирамиз.","",,
"25:20","Сендан олдин юборган Расулларнинг барчаси таом ерди, бозор айланарди. Биз сизни сабр қиласизми-йўқми синаш учун бир-бирингизга фитна/имтиҳон қилдик. Раббинг барчасини кўриб туради.","",,
"25:21","Бизга рўбарў бўлишдан умид қилмаганлар деди: “Бизга Куч эгалари/Малаклар тушиши, ёки Раббимизни кўришимиз керак эмасмиди?” Улар ўз ораларида кибр қилдилар, ва жуда катта кетдилар.","",,
"25:22","Кун келиб, улар Куч эгалари/Малакларни кўрганида, жиноятчилар учун қувончли хабар бўлмайди, “Тўсувчи тўсиқ!” дейишади.","",,
"25:23","Уларнинг қилиб ўтган ишларига келамиз, ва тўзитилган чангга айлантирамиз.","",,
"25:24","У Кунда боғ-роғ аҳли яхшироқ манзилга, яхшироқ масканга эга бўлади.","",,
"25:25",Осмон булутлар билан парчаланадиган ва Малаклар пайдар-пай тушадиган Кунда;,"",,
"25:26","Мулк/Подшоҳлик у Кунда ёлғиз Раҳмонга тегишли, ва нонкўрлар учун бу ўта оғир кун бўлади.","",,
"25:27","У Кунда золим икки қўлини тишлаб, дейди: “Кошкийди, Расул билан бирга йўл тутсайдим!","",,
"25:28","Ҳолимга вой, кошкийди, фалончини яқин дўст тутмасайдим!","",,
"25:29","Менга Эслатма келганидан кейин, у мени адаштирди”. Йўлдан оздирувчи/Шайтон инсонни ёлғиз ва ожиз ҳолда ташлаб кетади.","",,
"25:30","Расул деди: “Эй Раббим, қавмим ушбу Қуръонни тарк этилган ҳолда тутди”.","",,
"25:31","Ана шундай қилиб, Биз ҳар бир Набийга жиноятчилардан душманлар қилиб қўйдик. Йўл кўрсатиш ва ёрдам бериш учун Раббинг етарли.","",,
"25:32","Кофир бўлганлар деди: “Унга Қуръон бирйўла тўлиқ ҳолда нозил қилинса эди!” Ана шу тарзда сенинг қалбингни мустаҳкамлаш учун, уни тартил ила ратл* этдик. (73:3)","",,
"25:33","Улар келтирган ҳар бир масалга жавобан, Биз ҳақни ва энг яхши тафсирни келтирдик.","",,
"25:34","Жаҳаннамга юзтубан ҳайдаб келтирилганлар, ана ўшаларнинг аҳволи ёмонроқ ва йўли адашганроқ.","",,
"25:35",Биз Мусога Китобни бердик ва иниси Ҳорунни бирга ёрдамчи/вазир қилдик.,"",,
"25:36",Биз дедик: “Оятларимизни ёлғон санаган қавмга боринг”. Кейинроқ у қавмни ер билан бир этдик.,"",,
"25:37","Нуҳ қавми юборилган Расулларни ёлғон санагач, уларни ғарқ этдик ва одамлар учун оят-ибрат қилдик. Биз ундай золимлар учун Аламли Азоб ҳозирлаб қўйганмиз:","",,
"25:38","Од, Самуд, Расс халқи, ва орадаги яна кўплаб насллар учун.","",,
"25:39",Уларнинг ҳар бирига алоҳида мисоллар келтирдик. Биз уларнинг барчасини ҳалок қилдик.,"",,
"25:40","Улар ахир устига ёмонлик ёғини ёғған шаҳарга боришган-ку. Кўрмаганларми? Йўқ аксинча, улар қайта тирилишдан умидлари йўқ.","",,
"25:41",Улар сени кўрганида фақат мазах қиладилар: “Аллоҳ Расул қилиб танлаб юборган шуми?”,"",,
"25:42","“Агар биз илоҳларимизга қулликда маҳкам турмаганимизда борми, у бизни ўз илоҳларимиздан деярли адаштирган бўларди”. Улар ҳали азобни кўрганларида, ким йўлдан адашган эканини билиб олишади.","",,
"25:43",Илоҳини ўз ҳавоси/истаги/манфаати қилиб олган кимса ҳақида ҳеч ўйлаб кўрганмисан? Ундайларга сен вакил/қўриқчи бўлармидинг?,"",,
"25:44","Ёки уларнинг кўпи қулоқ солади ё ақл ишлатади, деб ўйлайсанми? Ахир улар худди чорва моллари каби-ку, балки яна-да адашганроқ!","",,
"25:45","Раббинг сояни қандай ёйишини кўрмадингми? Истаса, уни жилмас қилиб қўярди. Сўнгра Қуёшни унга далил қилиб қўйдик!","",,
"25:46",Сўнг сояни ўзимизга енгилгина тортдик.,"",,
"25:47","Сизлар учун кечани либос, уйқуни ором қилиб берган, кундузни эса тарқалиб ишлаш вақти қилиб берган Унинг Ўзидир.","",,
"25:48","Ўз раҳмати олдидан шамолларни хушхабар берувчи қилиб юборган ҳам Унинг Ўзидир, самодан покиза сув туширган ҳам Биз.","",,
"25:49","У билан ўлик юртни тирилтириш, ва Ўзимиз яратган кўплаб ҳайвонлар ва одамларни суғориш учун.","",,
"25:50",Биз уни улар орасида айириб қўйдик. Лекин кўп одамлар нонкўрлик билан бурилиб кетди.,"",,
"25:51","Истасак, ҳар бир шаҳарга бир огоҳлантирувчи юборган бўлардик.","",,
"25:52","Шундай экан, кофирларга бўйсунма ва уларга қарши у/Фурқон билан улкан жиҳод олиб боргин.","",,
"25:53","У икки денгизни айри оқитиб қўйган. Буниси ширин ичимлик, буниси эса шўр ва аччиқ. Улар орасига парда ва тўсувчи тўсиқ ўрнатиб қўйган.","",,
"25:54","У сувдан Башар яратди, ва уни насаб ва никоҳ орқали насли кўпаядиган қилди. Раббинг буларнинг барчасига қодир бўлган Зот.","",,
"25:55","Улар Аллоҳдан ўзга фойда ҳам, зарар ҳам етказолмаган нарсаларга қуллик/хизмат қиладилар. Кофир ўз Раббига қарши душманларга ёрдам беради.","",,
"25:56",Биз сени фақатгина Хушхабар бергувчи ва Огоҳ этгувчи сифатида юборганмиз.,"",,
"25:57","Сен айт: “Мен сизлардан бунинг учун ҳеч эваз истамайман, биргина истагим шу: ким истаса Рабби сари элтувчи Йўлни танласин!”","",,
"25:58",Тирик ва асло ўлмайдиган Зотга суян ва Уни мақтовга лойиқ тасбиҳ айлагин/поклаб улуғлагин. Қулларининг гуноҳларидан Унинг Ўзи етарлича хабардор.,"",,
"25:59","У Осмонлару-Ерни ҳамда улар орасидаги борлиқни олти кунда/даврда яратган, сўнг Аршга йўналган Раҳмондир. Уни хабардор Зотдан сўрагин.","",,
"25:60","Қачонки уларга: “Раҳмонга сажда қилинглар/таслим бўлинглар!” дейилса, “Раҳмон нима? Сен нимага буюрсанг шунга сажда қилаверамизми?” дейишади, ва уларнинг нафрати ортади.","",,
"25:61","Самода буржлар ўрнатган, унда чарақлаган Қуёш ва ёритувчи Ойни ўрнатиб қўйган Зот Қутлуғ-Муборакдир!","",,
"25:62",Кеча ва Кундузни бир-бирига эргаштириб қўйган Унинг Ўзидир. Бу - ўгит олишни ёки шукур қилишни истаганлар учун.,"",,
"25:63","Раҳмоннинг қуллари - Ер юзида тавозе билан юрадилар, мабодо жоҳиллар уларга хитоб қилсалар: “Салом/Тинчлик/Омонлик” дейдилар.","",,
"25:64","Улар тунларини Рабби учун сажда ва қиём этиб ўтказадилар,","",,
"25:65","Улар дейдиларки: “Эй Раббимиз, жаҳаннам азобини биздан нари қилгин. Ҳақиқатан унинг азоби ўраб олгувчидир.","",,
"25:66",Қанчалар ёмон қароргоҳ ва қанчалар ёмон мақомдир у!”,"",,
"25:67","Улар инфоқ этганларида, исроф этмайдилар ва бахил ҳам бўлмайдилар; балки бунинг орасида мўътадил бўладилар.","",,
"25:68","Улар Аллоҳ билан бирга ўзга бирор илоҳга дуо қилмайдилар. Улар Аллоҳ таъқиқлаган жонни ўлдирмайдилар, зино ҳам қилмайдилар. Ким бундай қилса, жазога тортилади.","",,
"25:69","Қиёмат кунида унга азоб икки баробар қилинади, ва у ерда хор аҳволда доимий қолдирилади.","",,
"25:70","Лекин тавба қилиб қайтганлар, имон келтириб солиҳ амал қилиб ўтганлар, ана ўшаларнинг ёмонликларини Аллоҳ Ўзи яхшиликларга алмаштиради. Аллоҳ Ғафур ва Раҳим/кечиримли, раҳмдил.","",,
"25:71","Кимки тавба қилиб, солиҳ амал қилган бўлса, тавбаси қабул этилган ҳолда Аллоҳга қайтади.","",,
"25:72","Улар ёлғон ва беҳуда нарсаларда гувоҳ бўлиб иштирок этмайди, бемаъни нарсаларга дуч келганида, виқор билан ўтиб кетадилар.","",,
"25:73","Улар Раббининг оятлари эслатилганда, кар ва кўр бўлиб олмайдилар.","",,
"25:74","Улар дейдиларки: “Эй Раббимиз, бизга жуфтларимиз ҳамда зурриётларимиздан кўзлар қувончини ато этгин, ҳамда бизни тақво эгаларига имом/пешқадам қилгин”*, (*Тақво Йўлига бошловчи пешқадамлар, Мусоллийн - 70:22)","",,
"25:75","Ана ўшалар ўз сабрлари учун юксак саройларда мукофотланади, у ерда тинчлик-омонлик тилаклари ила кутиб олинадилар.","",,
"25:76",У ерда доимий қоладилар. Қанчалар яхши маскан ва мақом!,"",,
"25:77","Сен айт: “Дуоингиз бўлмагач, Раббим сизни нима қилсин бошқа? Сизлар ёлғон санаб бўлдингиз, яқинда азоб лозим/муқаррар бўлади”.","",,
"26:1",То Син Мим,"",,
"26:2",Бу - очиқланган/очиқлаган Китобнинг оят-ишоратлари.,"",,
"26:3",Сен уларнинг мумин бўлмаётгани боис ўзингни салкам ҳалок қиласан.,"",,
"26:4","Истасак, уларнинг устига Самодан оят-ишорат нозил қилардик, ниҳоят бўйинлари эгиларди.","",,
"26:5","Ҳар гал Раҳмондан очиқ баён этилган Эслатма келганида, улар юз ўгирадилар.","",,
"26:6","Улар ёлғон санадилар, яқинда улар масхара қилган нарсанинг хабари келади.","",,
"26:7","Кўрмадиларми, Ер юзида қанча-қанча турларни чиқариб ўстириб қўйибмиз?","",,
"26:8","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:9","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:10",Мана Раббинг Мусога нидо қилди: “Золимлар қавмига бор!,"",,
"26:11",Фиръавн қавмига. Ҳеч тақво қилиб тийилмасларми?,"",,
"26:12","У деди: “Эй Раббим, улар мени ёлғончига чиқаришларидан чўчияпман.","",,
"26:13","Кўксим торайиб, тилим тутилади. Бу вазифани Ҳорунга ҳам юборгин”.","",,
"26:14",Менга қарши жиноят айбловлари ҳам бор; мени қатл этишларидан чўчияпман”.,"",,
"26:15","У деди: “Йўқ, асло! Иккингиз Бизнинг оятларимиз билан боринг! Биз сизлар билан бирга эшитамиз”.","",,
"26:16","Фиръавнга боринг, айтинг: “Биз Оламларнинг Рабби юборган Расуллармиз.","",,
"26:17",Исроил ўғилларини биз билан бирга юбор”.,"",,
"26:18",У деди: “Биз сени гўдаклигингда боқиб катта қилмадикми? Кўп йил умрингни орамизда ўтказмадингми?,"",,
"26:19","Охири қилар ишингни қилиб, нонкўрлик қилдинг”.","",,
"26:20","У деди: “Мен у ишни қилганимда, Тўғри Йўлни билмаганлардан/адашганлардан бири эдим”.","",,
"26:21","Мен сизлардан қўрқиб қочдим, кейин Раббим менга ҳукм инъом этди ва мени Расул қилиб юборди.","",,
"26:22",Менга миннат қилаётган мана шу яхшилигинг - Бани Исроилни қул қилишинг холос”.,"",,
"26:23",Фиръавн деди: “Оламларнинг Рабби дегани нима?”,"",,
"26:24","У деди: “Осмонлару-Ернинг ҳамда иккиси орасидагининг Рабби, агар қатъий ишонсангиз”.","",,
"26:25",У атрофдагиларга деди: “Эшитяпсизми?”,"",,
"26:26",У деди: “Сизнинг Раббингиз ва ўтган ота-боболарингизнинг ҳам Рабби”.,"",,
"26:27","Деди: “Сизларга юборилган бу Расул, ақлдан озибди”.","",,
"26:28","Деди: “Шарқ ва Ғарбнинг ҳамда иккиси орасидагининг Рабби, агар ақл ишлатсангиз”.","",,
"26:29","У деди: “Агар мендан ўзга Илоҳ тутсанг, сени зиндонга ташлайман”.","",,
"26:30",У деди: “Сизларга очиқланган/очиқлагувчи бирор нима келтирсам ҳамми?”,"",,
"26:31","У деди: “Қани келтир, агар рост бўлса”.","",,
"26:32","Асоини/қўлида тутганини ўртага отди, очиқчасига ютиб юборувчи эканини кўрдилар!* (*ваҳй ўз қаршисидаги ботилни ютиб юборгудек қувватли эди)","",,
"26:33","Қўлини чиқарди ва у кўрган кўзга оппоқ бўлди-қўйди*, (*қотиллик айбловидан оқланди)","",,
"26:34",Атрофидаги аъёнларга деди: “Бу билимдон сеҳрбоз экан.,"",,
"26:35","У сеҳри билан сизни юртингиздан чиқармоқчи. Хўш, нима буюрасиз?”","",,
"26:36","Улар дедилар: “Уни ва укасини қўятур, шаҳарларга чопар йўлла,","",,
"26:37",Ҳар бир билимдон сеҳрбозни тўпласин сенга”.,"",,
"26:38","Шундай қилиб, сеҳрбозлар маълум куннинг белгиланган вақтида тўпландилар.","",,
"26:39",Одамларга дейилди: “Сизлар ҳам тўпланасизми?,"",,
"26:40","Сеҳрбозларга эргашамиз, деган умиддамиз, агар ғолиб келсалар”.","",,
"26:41","Сеҳрбозлар келгач, Фиръавнга дедилар: “Агар биз ғолиб бўлсак, бизга эваз борми?”","",,
"26:42","У деди: “Ҳа, у ҳолда Менга яқинлардан бўласиз”.","",,
"26:43",Мусо уларга деди: “Отадиганингизни отинг!”,"",,
"26:44","Улар арқон ва асоларини отиб дедилар: “Фиръавннинг иззатига/куч-қудратига қасамки, биз ғолиб бўламиз”.","",,
"26:45",Шунда Мусо ҳам асоини/тутганини ташлади. Уларнинг уйдирганларини “юта бошлади”.,"",,
"26:46",Сеҳрбозлар саждага йиқилдилар/тўлиқ таслим бўлдилар.,"",,
"26:47",Дедилар: “Оламларнинг Раббига имон келтирдик/ишониб тан олдик,"",,
"26:48",Мусо ва Ҳоруннинг Раббига”.,"",,
"26:49","У деди: “Сизга мен изн бермай туриб унга ишондингизми? Аслида у сизга сеҳр ўргатган каттангиз бўлади. Энди яқинда  билиб оласиз: Менга хилоф бўлганингиз учун қўл-оёқларингизни кесаман, ва ҳаммангизни осаман”.","",,
"26:50","Улар дедилар: “Зарари йўқ, биз Раббимизга қайтамиз,","",,
"26:51","Умид қиламизки, биз биринчи бўлиб иймон келтирганимиз боис, Раббимиз бизнинг хатоларимизни кечиради”.","",,
"26:52",Биз Мусога ваҳй қилдик: “Қулларимни кечаси йўлга бошла. Сизларни таъқиб этишади”.,"",,
"26:53",Фиръавн шаҳарларга йиғувчиларни юборди.,"",,
"26:54",Деди: “Булар озчилик бир гуруҳ.,"",,
"26:55",Улар бизнинг ғазабимизга дучор бўлдилар.,"",,
"26:56",Бизлар эса ўта огоҳ бир жамоамиз”.,"",,
"26:57","Биз уларни боғ-роғлару чашмалардан чиқардик,","",,
"26:58",Хазиналару гўзал масканлардан.,"",,
"26:59","Ана шундай қилиб, уларни Исроил ўғилларига мерос қилиб қолдирдик.","",,
"26:60",Қуёш чиқишида уларни таъқиб этдилар.,"",,
"26:61","Икки гуруҳ бир-бирларини кўргач, Мусонинг ҳамроҳлари деди: “Бизга етиб олишди!”","",,
"26:62","У деди: “Йўқ, асло ундай эмас! Раббим мен билан биргадир. Унинг Ўзи менга йўл кўрсатади!”","",,
"26:63",Мусога ваҳй қилдик: “Асоингни денгизга зарб этгин/қўйгин!” У ёрилган эди. Ҳар бир бўлак улкан тоғдек эди.,"",,
"26:64",Наригиларни ҳам у ерга яқинлаштирдик.,"",,
"26:65",Мусо ва у билан бирга бўлганларнинг барчасини қутқардик.,"",,
"26:66",Наригиларни эса ғарқ қилдик.,"",,
"26:67","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:68","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:69",Уларга Иброҳимнинг хабарини ўқиб бергин:,"",,
"26:70",Мана у отасига ва қавмига деди: “Нималарга хизмат/қуллик қиляпсиз?”,"",,
"26:71","Дедилар: “Бут-санамларга қуллик қиляпмиз, улар учун эътикоф ўтирибмиз”.","",,
"26:72","У деди: “Мана дуо қиляпсиз, эшитяптими?","",,
"26:73",Ёки сизга фойда ёки зарар етказаяптими?”,"",,
"26:74","Дедилар: “Йўқ, ота-бобомиз шундай қилганини кўрганмиз”.","",,
"26:75","Деди: “Ана кўрдингизми, нималарга қуллик қилаётган экансиз?","",,
"26:76","Ўзингиз ҳам, ўтган ота-боболарингиз ҳам?","",,
"26:77",Улар барчаси менинг душманим. Биргина Оламларнинг Рабби мустасно.,"",,
"26:78","У мени яратган ва У менга йўл кўрсатади,","",,
"26:79","У мени едиради ва ичиради,","",,
"26:80","Хаста бўлганимда, У менга шифо беради,","",,
"26:81","У менга ўлим юборади, кейин қайта ҳаёт беради,","",,
"26:82","Умид қиламанки, Дин Кунида хатоларимни кечиради.","",,
"26:83","Эй Раббим, менга ҳикмат/ҳукм этиш кучи бергин ва мени солиҳлар/ислоҳ этиб тузатувчилар қаторига қўшгин.","",,
"26:84",Келажак насллар тилида менга садоқат насиб этгин!,"",,
"26:85",Мени ҳам Наъим жаннатининг/неъматлар тўла боғ-роғларнинг ворисларидан айлагин.,"",,
"26:86","Отамни ҳам мағфират айлагин. Ҳақиқатан, у адашганлардан бўлди.","",,
"26:87",Тирилиш Кунида мени шарманда қилмагин.,"",,
"26:88","Бойлик ҳам, фарзандлар ҳам фойда бермайдиган Кунда,","",,
"26:89",Фақат ким Аллоҳга покиза қалб ила келган бўлса мустасно”.,"",,
"26:90",Тақво эгаларига Жаннат яқин қилинди.,"",,
"26:91",Тўғри Йўлдан тойганларга Жаҳаннам яқин келтирилди.,"",,
"26:92",Уларга дейилди: “Сизлар қуллик қилиб ўтганлар қани?,"",,
"26:93",Аллоҳдан ўзга? Улар сизларга ёрдам бероладими ёки ўз-ўзларига ёрдам бероляптими?”,"",,
"26:94",Улар ва Тойганлар у ерда устма-уст тахланадилар.,"",,
"26:95",Ҳамда барча Иблис аскарлари.,"",,
"26:96","Улар у ерда ўзаро хусуматлашиб, дедилар:","",,
"26:97","“Аллоҳга қасамки, биз очиқчасига Адашувда эканмиз!","",,
"26:98",Сизларни Оламларнинг Раббига тенг санабмиз.,"",,
"26:99",Бизни фақат жиноятчилар адаштирди.,"",,
"26:100","Энди бизга на бир шафоатчи бор,","",,
"26:101",На бир яқин дўст.,"",,
"26:102","Қанийди, бизга яна бир карра фурсат берилса-да, муминлардан бўлсак!”","",,
"26:103","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:104","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:105",Нуҳ қавми ҳам юборилган Расулларни ёлғон санади.,"",,
"26:106",Мана биродарлари Нуҳ уларга деди: “Тақво қилмайсизми?,"",,
"26:107",Мен сизларга юборилган Ишончли Расулман.,"",,
"26:108",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:109",Мен бунинг учун сиздан эваз сўрамайман. Менинг эвазим фақат Оламларнинг Раббида.,"",,
"26:110","Бас, Аллоҳга тақво қилинг ва менга бўйсунинг!”","",,
"26:111","Улар дедилар: “Сенга ишонайликми, ахир сенга фақат зотипастлар эргашяпти-ку?”","",,
"26:112",У деди: “Уларнинг қилаётган ишлари менга маълум эмас.,"",,
"26:113","Улар фақат Раббимга ҳисоб берадилар, агар сезсангиз.","",,
"26:114",Мен муминларни ёнимдан ҳайдамайман.,"",,
"26:115",Мен фақат очиқча огоҳлантираман холос”.,"",,
"26:116","Улар дедилар: “Эй Нуҳ, агар бас қилмасанг, ражм/бадарға қилинасан”.","",,
"26:117","У деди: “Эй Раббим, қавмим мени ёлғончига чиқарди.","",,
"26:118",Улар билан орамизни очиқ қилгин. Менга ва мен билан бирга бўлган муминларга Ўзинг нажот бергин!”,"",,
"26:119",Биз унга ва у билан бирга бўлганларга юкли кемада нажот бердик.,"",,
"26:120",Кейин эса ортда қолганларни ғарқ этдик.,"",,
"26:121","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:122","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:123",Од ҳам юборилган Расулларни ёлғон санади.,"",,
"26:124",Биродарлари Ҳуд уларга деди: “Тақво қилмайсизми?”,"",,
"26:125",Мен сизларга юборилган Ишончли Расулман.,"",,
"26:126",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:127",Мен сизлардан бунинг учун эваз сўрамайман. Менинг эвазим фақат Оламларнинг Рабби зиммасида.,"",,
"26:128","Ҳар бир тепада аломат ясаб, беъмани ўйин қиласизми?","",,
"26:129","Данғиллама уйлар қурасиз, гўё мангу яшайдигандек!","",,
"26:130","Ушласангиз, жабр-зулм билан ушлайсиз.","",,
"26:131",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:132","Ўзингиз билган неъматлар билан сизга мадад берган Зотга тақво қилинг,","",,
"26:133","У сизга чорва моллари ва фарзандлар билан мадад берган,","",,
"26:134",Боғлар ва чашмалар билан.,"",,
"26:135","Ҳақиқатан, мен сизларга Улуғ Куннинг азобидан қўрқаман”.","",,
"26:136","Улар дедилар: “Ваъз айтасанми-йўқми, бизга барибир”.","",,
"26:137",Бу фақат ўтганларнинг Хулуқи* холос. (*Хулуқ - берилган ризқларни тўғри тасарруф этиш таълимоти - 68:4),"",,
"26:138",Биз азобланмаймиз/маҳрум бўлмаймиз.,"",,
"26:139","Уни ёлғон санадилар. Биз уларни ҳалок қилдик. Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:140","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:141",Самуд ҳам юборилган Расулларни ёлғон санади.,"",,
"26:142",Мана биродарлари Солиҳ уларга деди: “Тақво қилмайсизми?”,"",,
"26:143",Мен сизга юборилган Ишончли Расулман.,"",,
"26:144",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:145",Мен сиздан бунинг учун эваз сўрамайман. Менинг эвазим фақат Оламларнинг Рабби зиммасида.,"",,
"26:146","Сиз ўша ерингизда омонда қоламиз, деб ўйлайсизми?","",,
"26:147","Боғлар ва чашмалар орасида,","",,
"26:148","Экинзорлар ва майин хурмозорлар орасида,","",,
"26:149",Тоғларда маҳорат-ла уйлар ўйиб?,"",,
"26:150",Аллоҳга тақво қилинг ва менга бўйсунинг!,"",,
"26:151",Мусрифларнинг/ҳаддан ошувчиларнинг буйруғига бўйсунманг.,"",,
"26:152",Улар Ер юзида бузғунчилик қиладилар ва ислоҳ этиб тузатмайдилар”.,"",,
"26:153",Улар дедилар: “Сенга сеҳр қилишибди.,"",,
"26:154","Сен ҳам биз каби башар/оддий одамсан. Айтганинг рост бўлса, қани бизга оят-ишорат келтир!”","",,
"26:155","У деди: “Мана шу туя, унинг маълум кун сув ичиш ҳаққи бор, сизнинг ҳам сув ичиш ҳаққингиз бор.","",,
"26:156","Унга зарар етказманг, акс ҳолда Улуғ Куннинг азоби тутади сизни”.","",,
"26:157","Улар уни сўйиб ташладилар, сўнг пушаймон бўлдилар.","",,
"26:158","Уларни Азоб тутди. Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:159","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:160",Лут қавми ҳам юборилган Расулларни ёлғон санади.,"",,
"26:161","Мана, биродарлари Лут уларга деди: “Тақво қилмайсизми?","",,
"26:162",Мен сизга юборилган Ишончли Расулман.,"",,
"26:163",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:164",Мен сиздан бунинг учун эваз сўрамайман. Менинг эвазим фақат Оламларнинг Рабби зиммасида. ,"",,
"26:165","Наҳотки, барча оламлар орасидан фақат эркакларни оласиз?","",,
"26:166","Раббингиз сиз учун яратган жуфтларингизни тарк этасиз? Ҳақиқатан, сиз тажовузкор тўдасиз”.","",,
"26:167","Улар дедилар: “Эй Лут, агар бас қилмасанг, сени ҳайдаб чиқарамиз”.","",,
"26:168",У деди: “Мен сизнинг ишингиздан жирканаман.,"",,
"26:169",Эй Раббим! Менга ва аҳлимга уларнинг қилмишларидан Ўзинг нажот бергин”.,"",,
"26:170","Биз унга ва унинг барча аҳлига нажот бердик,","",,
"26:171",Биргина ортда қолганлар орасида бир кампир қолиб кетди.,"",,
"26:172",Кейин эса қолганларни ҳалок қилдик.,"",,
"26:173",Ва улар устига ёғин ёғдирдик. Бу огоҳ этилганларнинг ёғини қанчалар ёмон...,"",,
"26:174","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:175","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:176",Айка аҳли/Қалин дарахтзор эгалари ҳам юборилган Расулларни ёлғон санади.,"",,
"26:177",Мана биродарлари Шуъайб уларга деди: “Тақво қилмайсизми?,"",,
"26:178",Мен сизга юборилган Ишончли Расулман.,"",,
"26:179",Аллоҳга тақво қилинг ва менга бўйсунинг.,"",,
"26:180",Мен сиздан бунинг учун эваз сўрамайман. Менинг эвазим фақат Оламларнинг Рабби зиммасида.,"",,
"26:181","Ўлчовни тўлиқ ўлчанг, ва ҳақдан уриб қолувчи бўлманг.","",,
"26:182",Тарозини тўғри тортинг.,"",,
"26:183",Одамларнинг ашёларини ерга уриб олманг/одамларнинг ҳақ-ҳуқуқларини чекламанг. Ер юзида бузғунчилик ёйманг.,"",,
"26:184",Сизни ва ўтган наслларни яратган Зотга тақво қилинг”.,"",,
"26:185",Улар дедилар: “Сенга сеҳр қилишибди.,"",,
"26:186","Сен ҳам биз каби башар/оддий одамсан, сени каззоб деган гумонимиз бор.","",,
"26:187","Қани, бизга осмонни парча-парча қилиб тушир-чи, агар гапинг рост бўлса”.","",,
"26:188",У деди: “Сизнинг қилаётган ишларингизни Раббим яхши билиб турибди”.,"",,
"26:189","Уни ёлғончига чиқаришди, Соя Кунининг азоби уларни ушлади. Ҳақиқатан, Улуғ Куннинг азоби мана шу эди.","",,
"26:190","Ҳақиқатан, бунда оят-ишорат бор, лекин уларнинг кўпи бунга ишонувчи бўлмади.","",,
"26:191","Ҳақиқатан, Сенинг Раббинг Азиз Раҳим/қудратли ва раҳмдил.","",,
"26:192",Албатта бу* - Оламларнинг Раббидан танзил/нозил қилинган. (*Китоб 26:2),"",,
"26:193",У билан Руҳул-Амин нозил бўлган.,"",,
"26:194","Сенинг қалбингга; Огоҳ этувчилардан бўлишинг учун,","",,
"26:195","Очиқлагувчи/очиқланувчи Арабий лисонда,","",,
"26:196",Бу ўтган китобларда ҳам мавжуд.,"",,
